,date,high,low,close
0,2020-6-19,11382,11150,11286
1,2020-6-20,11351,11155,11325
2,2020-6-21,11355,11225,11238
3,2020-6-22,11675,11232,11593
4,2020-6-23,11649,11488,11509
5,2020-6-24,11553,11110,11233
6,2020-6-25,11232,10842,11147
7,2020-6-26,11185,10901,11045
8,2020-6-27,11051,10791,10913
9,2020-6-28,11163,10756,10970
10,2020-6-29,11033,10814,10972
11,2020-6-30,11004,10882,10903
12,2020-7-1,11111,10887,11051
13,2020-7-2,11077,10772,10888
14,2020-7-3,10920,10821,10837
15,2020-7-4,10960,10814,10884
16,2020-7-5,10900,10700,10831
17,2020-7-6,11102,10796,11065
18,2020-7-7,11097,10952,10988
19,2020-7-8,11208,10968,11138
20,2020-7-9,11149,10906,10961
21,2020-7-10,11062,10880,11043
22,2020-7-11,11044,10910,10957
23,2020-7-12,11061,10915,11036
24,2020-7-13,11063,10908,11000
25,2020-7-14,11040,10925,11010
26,2020-7-15,11017,10955,10975
27,2020-7-16,11003,10835,10934
28,2020-7-17,10980,10875,10937
29,2020-7-18,10990,10894,10905
